"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"BEN BOLT-PALITO BLANCO ISD","Spring 2016","3","35","1458","83","23","17","35","1515","89","20","11","","","","","","","","","","","","","","","",
"BEN BOLT-PALITO BLANCO ISD","Spring 2016","4","27","1493","67","7","33","27","1526","70","19","30","27","3510","48","0","52","","","","","","","","","","",
"BEN BOLT-PALITO BLANCO ISD","Spring 2016","5","47","1454","34","9","66","46","1513","48","4","52","","","","","","45","3541","44","4","56","","","","","",
"BEN BOLT-PALITO BLANCO ISD","Spring 2016","6","38","1582","71","13","29","38","1527","39","0","61","","","","","","","","","","","","","","","",
"BEN BOLT-PALITO BLANCO ISD","Spring 2016","7","32","1600","63","9","38","32","1624","56","6","44","32","3659","59","6","41","","","","","","","","","","",
"BEN BOLT-PALITO BLANCO ISD","Spring 2016","8","41","1645","73","12","27","40","1652","83","5","18","","","","","","42","3849","79","14","21","41","3418","37","2","63",
"BEN BOLT-PALITO BLANCO ISD","May 2016","5","29","1420","28","0","72","24","1491","50","0","50","","","","","","","","","","","","","","","",
"BEN BOLT-PALITO BLANCO ISD","May 2016","8","11","1549","18","0","82","7","1597","43","0","57","","","","","","","","","","","","","","","",
"BENAVIDES ISD","Spring 2016","3","14","1479","86","29","14","14","1445","86","7","14","","","","","","","","","","","","","","","",
"BENAVIDES ISD","Spring 2016","4","25","1525","76","16","24","25","1503","56","8","44","25","3951","84","20","16","","","","","","","","","","",
"BENAVIDES ISD","Spring 2016","5","26","1487","54","8","46","27","1509","48","7","52","","","","","","26","3668","69","0","31","","","","","",
"BENAVIDES ISD","Spring 2016","6","21","1524","52","0","48","21","1571","67","0","33","","","","","","","","","","","","","","","",
"BENAVIDES ISD","Spring 2016","7","32","1644","78","19","22","29","1646","76","14","24","32","4086","91","16","9","","","","","","","","","","",
"BENAVIDES ISD","Spring 2016","8","28","1670","86","4","14","28","1611","50","0","50","","","","","","29","3538","52","0","48","29","3409","21","3","79",
"BENAVIDES ISD","May 2016","5","12","1446","33","0","67","13","1495","38","0","62","","","","","","","","","","","","","","","",
"BENAVIDES ISD","May 2016","8","6","1624","50","0","50","14","1608","64","0","36","","","","","","","","","","","","","","","",
"BENJAMIN ISD","Spring 2016","3","6","1519","100","50","0","6","1525","100","33","0","","","","","","","","","","","","","","","",
"BENJAMIN ISD","Spring 2016","4","5","1596","100","40","0","5","1610","100","0","0","5","4338","100","20","0","","","","","","","","","","",
"BENJAMIN ISD","Spring 2016","5","7","1489","57","14","43","7","1518","57","14","43","","","","","","8","3422","25","0","75","","","","","",
"BENJAMIN ISD","Spring 2016","6","12","1656","83","33","17","12","1626","75","17","25","","","","","","","","","","","","","","","",
"BENJAMIN ISD","Spring 2016","7","5","1577","40","0","60","5","1540","40","0","60","5","3539","60","0","40","","","","","","","","","","",
"BENJAMIN ISD","Spring 2016","8","7","1720","86","43","14","7","1604","29","0","71","","","","","","8","3900","75","13","25","8","3737","75","25","25",
"BENJAMIN ISD","May 2016","5","3","-","-","-","-","3","-","-","-","-","","","","","","","","","","","","","","","",
"BENJAMIN ISD","May 2016","8","1","-","-","-","-","5","1598","60","0","40","","","","","","","","","","","","","","","",
"BETA ACADEMY (101870)","Spring 2016","3","54","1442","80","20","20","54","1438","81","9","19","","","","","","","","","","","","","","","",
"BETA ACADEMY (101870)","Spring 2016","4","56","1529","89","13","11","56","1548","82","18","18","56","3858","77","13","23","","","","","","","","","","",
"BETA ACADEMY (101870)","Spring 2016","5","38","1596","89","26","11","38","1628","89","18","11","","","","","","37","3838","92","0","8","","","","","",
"BETA ACADEMY (101870)","Spring 2016","6","26","1663","96","27","4","26","1713","96","27","4","","","","","","","","","","","","","","","",
"BETA ACADEMY (101870)","May 2016","5","3","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"BEXAR COUNTY ACADEMY (015809)","Spring 2016","3","21","1367","52","10","48","21","1408","71","10","29","","","","","","","","","","","","","","","",
"BEXAR COUNTY ACADEMY (015809)","Spring 2016","4","29","1492","72","14","28","29","1513","62","14","38","30","3650","57","3","43","","","","","","","","","","",
"BEXAR COUNTY ACADEMY (015809)","Spring 2016","5","21","1546","76","10","24","21","1612","95","14","5","","","","","","21","3622","67","0","33","","","","","",
"BEXAR COUNTY ACADEMY (015809)","Spring 2016","6","35","1556","71","9","29","35","1634","83","14","17","","","","","","","","","","","","","","","",
"BEXAR COUNTY ACADEMY (015809)","Spring 2016","7","27","1639","85","4","15","27","1748","100","33","0","27","4045","96","15","4","","","","","","","","","","",
"BEXAR COUNTY ACADEMY (015809)","Spring 2016","8","28","1693","93","7","7","28","1660","79","0","21","","","","","","28","3946","89","11","11","29","3752","79","3","21",
"BEXAR COUNTY ACADEMY (015809)","May 2016","5","5","1387","0","0","100","1","-","-","-","-","","","","","","","","","","","","","","","",
"BEXAR COUNTY ACADEMY (015809)","May 2016","8","2","-","-","-","-","6","1569","33","0","67","","","","","","","","","","","","","","","",
"BIG SANDY ISD (187901)","Spring 2016","3","32","1438","81","22","19","34","1355","53","0","47","","","","","","","","","","","","","","","",
"BIG SANDY ISD (187901)","Spring 2016","4","30","1483","67","17","33","31","1469","48","10","52","31","3454","42","3","58","","","","","","","","","","",
"BIG SANDY ISD (187901)","Spring 2016","5","31","1573","68","29","32","31","1551","58","16","42","","","","","","31","3956","84","19","16","","","","","",
"BIG SANDY ISD (187901)","Spring 2016","6","30","1596","73","17","27","30","1582","67","3","33","","","","","","","","","","","","","","","",
"BIG SANDY ISD (187901)","Spring 2016","7","38","1656","74","34","26","38","1638","74","5","26","38","3908","76","16","24","","","","","","","","","","",
"BIG SANDY ISD (187901)","Spring 2016","8","29","1682","83","17","17","29","1623","59","0","41","","","","","","29","3874","86","7","14","29","3581","52","0","48",
"BIG SANDY ISD (187901)","May 2016","5","10","1440","60","0","40","13","1459","23","0","77","","","","","","","","","","","","","","","",
"BIG SANDY ISD (187901)","May 2016","8","5","1576","60","0","40","12","1597","50","0","50","","","","","","","","","","","","","","","",
"BIG SANDY ISD (230901)","Spring 2016","3","47","1439","81","23","19","47","1470","85","13","15","","","","","","","","","","","","","","","",
"BIG SANDY ISD (230901)","Spring 2016","4","43","1513","79","21","21","43","1551","77","19","23","44","3852","68","23","32","","","","","","","","","","",
"BIG SANDY ISD (230901)","Spring 2016","5","56","1487","55","7","45","57","1580","75","7","25","","","","","","57","3724","65","5","35","","","","","",
"BIG SANDY ISD (230901)","Spring 2016","6","52","1525","54","10","46","52","1545","52","0","48","","","","","","","","","","","","","","","",
"BIG SANDY ISD (230901)","Spring 2016","7","44","1609","59","14","41","44","1603","61","2","39","45","3609","60","0","40","","","","","","","","","","",
"BIG SANDY ISD (230901)","Spring 2016","8","59","1700","88","17","12","57","1675","79","11","21","","","","","","57","3613","61","5","39","57","3520","42","5","58",
"BIG SANDY ISD (230901)","May 2016","5","28","1443","43","0","57","13","1529","77","0","23","","","","","","","","","","","","","","","",
"BIG SANDY ISD (230901)","May 2016","8","8","1584","50","0","50","14","1600","50","0","50","","","","","","","","","","","","","","","",
"BIG SPRING ISD","Spring 2016","3","328","1373","58","11","42","333","1390","58","8","42","","","","","","","","","","","","","","","",
"BIG SPRING ISD","Spring 2016","4","299","1449","55","7","45","299","1491","59","9","41","301","3592","55","7","45","","","","","","","","","","",
"BIG SPRING ISD","Spring 2016","5","274","1482","52","12","48","276","1512","49","6","51","","","","","","271","3482","43","2","57","","","","","",
"BIG SPRING ISD","Spring 2016","6","292","1505","46","6","54","289","1558","53","6","47","","","","","","","","","","","","","","","",
"BIG SPRING ISD","Spring 2016","7","286","1581","51","12","49","280","1584","48","5","53","284","3579","50","4","50","","","","","","","","","","",
"BIG SPRING ISD","Spring 2016","8","305","1645","75","7","25","280","1593","46","1","54","","","","","","302","3646","61","6","39","304","3469","43","4","57",
"BIG SPRING ISD","May 2016","5","128","1373","11","1","89","136","1452","32","0","68","","","","","","","","","","","","","","","",
"BIG SPRING ISD","May 2016","8","78","1534","27","0","73","153","1561","31","0","69","","","","","","","","","","","","","","","",
"BIG SPRINGS CHARTER SCHOOL (193801)","Spring 2016","3","7","1303","14","0","86","7","1314","29","0","71","","","","","","","","","","","","","","","",
"BIG SPRINGS CHARTER SCHOOL (193801)","Spring 2016","4","9","1370","33","0","67","10","1408","40","0","60","10","3370","30","0","70","","","","","","","","","","",
"BIG SPRINGS CHARTER SCHOOL (193801)","Spring 2016","5","11","1460","45","9","55","11","1502","27","9","73","","","","","","11","3568","55","0","45","","","","","",
"BIG SPRINGS CHARTER SCHOOL (193801)","Spring 2016","6","19","1453","21","0","79","18","1503","17","0","83","","","","","","","","","","","","","","","",
"BIG SPRINGS CHARTER SCHOOL (193801)","Spring 2016","7","16","1565","44","0","56","16","1541","31","0","69","17","3489","47","0","53","","","","","","","","","","",
"BIG SPRINGS CHARTER SCHOOL (193801)","Spring 2016","8","14","1609","57","0","43","10","1586","40","0","60","","","","","","14","3444","43","0","57","14","3355","21","0","79",
"BIG SPRINGS CHARTER SCHOOL (193801)","May 2016","5","6","1391","0","0","100","8","1456","25","0","75","","","","","","","","","","","","","","","",
"BIG SPRINGS CHARTER SCHOOL (193801)","May 2016","8","6","1541","33","0","67","5","1592","40","0","60","","","","","","","","","","","","","","","",
"BIRDVILLE ISD","Spring 2016","3","1546","1464","81","28","19","1696","1478","81","22","19","","","","","","","","","","","","","","","",
"BIRDVILLE ISD","Spring 2016","4","1546","1537","83","23","17","1698","1569","78","23","22","1536","3914","73","17","27","","","","","","","","","","",
"BIRDVILLE ISD","Spring 2016","5","1621","1584","81","30","19","1724","1636","86","25","14","","","","","","1699","3897","82","13","18","","","","","",
"BIRDVILLE ISD","Spring 2016","6","1614","1606","74","22","26","1564","1662","81","21","19","","","","","","","","","","","","","","","",
"BIRDVILLE ISD","Spring 2016","7","1667","1653","77","23","23","1624","1704","81","27","19","1676","3921","74","15","26","","","","","","","","","","",
"BIRDVILLE ISD","Spring 2016","8","1614","1689","84","19","16","1179","1680","74","9","26","","","","","","1577","4069","82","27","18","1578","3832","69","20","31",
"BIRDVILLE ISD","May 2016","5","307","1441","42","2","58","228","1489","49","0","51","","","","","","","","","","","","","","","",
"BIRDVILLE ISD","May 2016","8","255","1566","42","1","58","303","1599","54","0","46","","","","","","","","","","","","","","","",
"BISHOP CISD","Spring 2016","3","84","1448","74","25","26","84","1510","83","26","17","","","","","","","","","","","","","","","",
"BISHOP CISD","Spring 2016","4","98","1529","81","20","19","98","1610","85","35","15","99","3904","77","16","23","","","","","","","","","","",
"BISHOP CISD","Spring 2016","5","98","1564","80","22","20","98","1597","80","13","20","","","","","","99","3846","83","5","17","","","","","",
"BISHOP CISD","Spring 2016","6","105","1594","75","18","25","105","1668","88","16","12","","","","","","","","","","","","","","","",
"BISHOP CISD","Spring 2016","7","96","1633","69","19","31","96","1678","79","16","21","99","3800","68","12","32","","","","","","","","","","",
"BISHOP CISD","Spring 2016","8","118","1677","84","15","16","94","1649","68","3","32","","","","","","116","3741","69","10","31","116","3583","54","7","46",
"BISHOP CISD","May 2016","5","21","1431","33","0","67","21","1532","67","0","33","","","","","","","","","","","","","","","",
"BISHOP CISD","May 2016","8","18","1561","39","0","61","28","1575","36","0","64","","","","","","","","","","","","","","","",
"BLACKWELL CISD","Spring 2016","3","6","1417","67","17","33","6","1371","33","0","67","","","","","","","","","","","","","","","",
"BLACKWELL CISD","Spring 2016","4","5","1501","80","20","20","5","1478","60","0","40","5","3927","100","20","0","","","","","","","","","","",
"BLACKWELL CISD","Spring 2016","5","6","1623","100","33","0","6","1654","100","17","0","","","","","","7","4079","86","14","14","","","","","",
"BLACKWELL CISD","Spring 2016","6","7","1660","86","29","14","7","1636","100","14","0","","","","","","","","","","","","","","","",
"BLACKWELL CISD","Spring 2016","7","14","1678","93","29","7","14","1658","86","7","14","14","3829","86","7","14","","","","","","","","","","",
"BLACKWELL CISD","Spring 2016","8","14","1748","93","36","7","12","1693","83","0","17","","","","","","14","3952","86","14","14","14","3864","71","29","29",
"BLACKWELL CISD","May 2016","5","1","-","-","-","-","1","-","-","-","-","","","","","","","","","","","","","","","",
"BLACKWELL CISD","May 2016","8","1","-","-","-","-","2","-","-","-","-","","","","","","","","","","","","","","","",
"BLANCO ISD","Spring 2016","3","82","1433","77","20","23","79","1470","78","16","22","","","","","","","","","","","","","","","",
"BLANCO ISD","Spring 2016","4","70","1530","87","24","13","70","1517","70","4","30","70","3933","79","13","21","","","","","","","","","","",
"BLANCO ISD","Spring 2016","5","81","1586","83","30","17","81","1577","77","11","23","","","","","","81","3868","85","6","15","","","","","",
"BLANCO ISD","Spring 2016","6","87","1581","70","15","30","85","1620","75","8","25","","","","","","","","","","","","","","","",
"BLANCO ISD","Spring 2016","7","70","1644","81","19","19","68","1668","78","15","22","70","3879","84","7","16","","","","","","","","","","",
"BLANCO ISD","Spring 2016","8","80","1694","88","20","13","46","1599","50","0","50","","","","","","74","3770","64","16","36","74","3614","54","12","46",
"BLANCO ISD","May 2016","5","14","1429","21","0","79","18","1510","67","0","33","","","","","","","","","","","","","","","",
"BLANCO ISD","May 2016","8","10","1520","10","0","90","23","1568","30","0","70","","","","","","","","","","","","","","","",
"BLAND ISD","Spring 2016","3","52","1462","87","25","13","52","1474","85","17","15","","","","","","","","","","","","","","","",
"BLAND ISD","Spring 2016","4","41","1516","76","17","24","41","1602","88","34","12","42","3748","62","12","38","","","","","","","","","","",
"BLAND ISD","Spring 2016","5","42","1579","86","17","14","44","1647","93","23","7","","","","","","45","4022","89","13","11","","","","","",
"BLAND ISD","Spring 2016","6","42","1644","83","31","17","42","1671","88","19","12","","","","","","","","","","","","","","","",
"BLAND ISD","Spring 2016","7","48","1640","79","17","21","48","1661","81","15","19","47","3914","77","11","23","","","","","","","","","","",
"BLAND ISD","Spring 2016","8","39","1706","82","18","18","39","1693","82","15","18","","","","","","40","3888","83","13","18","39","3828","64","21","36",
"BLAND ISD","May 2016","5","8","1497","63","25","38","3","-","-","-","-","","","","","","","","","","","","","","","",
"BLAND ISD","May 2016","8","7","1585","71","0","29","7","1580","29","0","71","","","","","","","","","","","","","","","",
"BLANKET ISD","Spring 2016","3","5","1560","100","40","0","5","1655","100","80","0","","","","","","","","","","","","","","","",
"BLANKET ISD","Spring 2016","4","11","1479","91","18","9","11","1541","73","18","27","11","3521","45","0","55","","","","","","","","","","",
"BLANKET ISD","Spring 2016","5","12","1493","58","17","42","12","1504","58","0","42","","","","","","12","3522","58","0","42","","","","","",
"BLANKET ISD","Spring 2016","6","17","1581","71","12","29","17","1563","47","6","53","","","","","","","","","","","","","","","",
"BLANKET ISD","Spring 2016","7","15","1701","87","27","13","15","1642","87","7","13","15","3921","73","0","27","","","","","","","","","","",
