"Group Summary: Performance Levels "
"STAAR 3-8"

"Group","Admin","Grade","STAAR - Reading - Number Tested","STAAR - Reading - Average Scale Score","STAAR - Reading - Satisfactory - %","STAAR - Reading - Advanced - %","STAAR - Reading - Unsatisfactory - %","STAAR - Mathematics - Number Tested","STAAR - Mathematics - Average Scale Score","STAAR - Mathematics - Satisfactory - %","STAAR - Mathematics - Advanced - %","STAAR - Mathematics - Unsatisfactory - %","STAAR - Writing - Number Tested","STAAR - Writing - Average Scale Score","STAAR - Writing - Satisfactory - %","STAAR - Writing - Advanced - %","STAAR - Writing - Unsatisfactory - %","STAAR - Science - Number Tested","STAAR - Science - Average Scale Score","STAAR - Science - Satisfactory - %","STAAR - Science - Advanced - %","STAAR - Science - Unsatisfactory - %","STAAR - Social Studies - Number Tested","STAAR - Social Studies - Average Scale Score","STAAR - Social Studies - Satisfactory - %","STAAR - Social Studies - Advanced - %","STAAR - Social Studies - Unsatisfactory - %"
"A W BROWN LEADERSHIP ACADEMY","Spring 2016","3","219","1369","55","13","45","220","1373","50","4","50","","","","","","","","","","","","","","","",
"A W BROWN LEADERSHIP ACADEMY","Spring 2016","4","150","1496","71","13","29","150","1461","53","2","47","150","3786","61","11","39","","","","","","","","","","",
"A W BROWN LEADERSHIP ACADEMY","Spring 2016","5","149","1517","64","16","36","149","1524","60","4","40","","","","","","148","3456","41","0","59","","","","","",
"A W BROWN LEADERSHIP ACADEMY","Spring 2016","6","141","1533","55","6","45","140","1572","59","6","41","","","","","","","","","","","","","","","",
"A W BROWN LEADERSHIP ACADEMY","Spring 2016","7","124","1612","72","11","28","123","1633","67","9","33","123","3878","80","4","20","","","","","","","","","","",
"A W BROWN LEADERSHIP ACADEMY","Spring 2016","8","77","1633","78","1","22","79","1597","48","0","52","","","","","","116","3726","60","9","40","116","3492","42","4","58",
"A W BROWN LEADERSHIP ACADEMY","May 2016","5","53","1398","23","0","77","59","1476","53","0","47","","","","","","","","","","","","","","","",
"A W BROWN LEADERSHIP ACADEMY","May 2016","8","17","1548","29","0","71","41","1600","59","0","41","","","","","","","","","","","","","","","",
"A+ ACADEMY (057829)","Spring 2016","3","58","1357","52","9","48","58","1406","62","10","38","","","","","","","","","","","","","","","",
"A+ ACADEMY (057829)","Spring 2016","4","70","1472","63","9","37","70","1482","57","7","43","70","3451","43","3","57","","","","","","","","","","",
"A+ ACADEMY (057829)","Spring 2016","5","69","1479","52","6","48","70","1525","51","9","49","","","","","","69","3614","51","3","49","","","","","",
"A+ ACADEMY (057829)","Spring 2016","6","66","1556","74","8","26","66","1608","71","11","29","","","","","","","","","","","","","","","",
"A+ ACADEMY (057829)","Spring 2016","7","83","1571","55","5","45","83","1619","63","7","37","83","3601","58","0","42","","","","","","","","","","",
